kinetic,gravitational,elastic
0.008083832400000003,-0.016167664800000005,2.200208658500563e-11
0.03233532942951876,-0.04850299431199166,1.6852940047291147e-09
0.07275448490655578,-0.09700598631418973,2.462728301925324e-08
0.12934124739090427,-0.16167662550177567,1.7049413171179436e-07
0.20209540135957363,-0.24251485273567902,7.685435753055376e-07
0.2910163276892141,-0.33952050306301823,2.6282087611483964e-06
0.396102607670569,-0.4526932024075892,7.425899985890812e-06
0.5173514309682055,-0.5820322137346505,1.8258151598079647e-05
0.6547577668493656,-0.7275362230929775,4.039026222539681e-05
0.808313262822097,-0.889203055146611,8.222230100024826e-05
0.9780048417949443,-1.0670293080325364,0.0001564868227772102
1.1638129774740626,-1.2610098989651737,0.0002816849321617095
1.3657096384306993,-1.4711375140626446,0.0004837568423808436
1.583655907421063,-1.697401957497483,0.0007979635439621241
1.8175993093615006,-1.9397893965947104,0.0012709247015154665
2.0674709192833753,-2.198281502308333,0.001962718019168414
2.333182368093041,-2.4728544897407296,0.0029489003667589634
2.614622917908374,-2.7634780708320985,0.004322261560513735
2.911656838649529,-3.070114339850304,0.006194068752857772
3.224121379680314,-3.392716621043029,0.008694507642974181
3.5518256858727115,-3.731228317192738,0.011971989525491127
3.8945510397180616,-4.085581808799213,0.016190991854437134
4.252052798475428,-4.455697466073196,0.021528156141293463
4.624064317355365,-4.8414828477235154,0.028166496476548505
5.010302991424712,-5.242832168292061,0.03628778100347586
5.410478306575214,-5.659626116651233,0.04606343002903125
5.824301476665358,-6.09173210081286,0.05764460343224295
6.251495895213356,-6.539004977925282,0.07115247740839187
6.691807309537326,-7.001288302578104,0.08666995788505359
7.145012422042668,-7.478416090365152,0.10423614921893785
7.610924630586905,-7.970215047489971,0.12384470988758838
8.089395899839271,-8.476507164739928,0.14544675333134763
8.580314303317394,-8.997112522800492,0.16895824808177937
9.083597498810354,-9.53185211490955,0.19427108021969375
9.599183131458778,-10.080550470609513,0.22126625811991835
10.127017707252186,-10.643037866229905,0.24982734742711413
10.66704569658345,-11.219151935589482,0.27985222903330437
11.219200461217165,-11.808738546679358,0.3112616680234644
11.78339810746849,-12.411651881535496,0.34400385495048563
12.359534699654208,-13.027753737842966,0.37805484863989014
12.94748661024702,-13.656912149499986,0.4134155112761132
13.547113305610441,-14.29899948645095,0.4501059377936121
14.15826164877932,-14.95389023215548,0.4881585121205243
14.780770811763716,-15.62145864709423,0.527610641474139
15.414477039196328,-16.30157651221368,0.5684980178608735
16.059217721425664,-16.99411111467044,0.6108489893555171
16.71483448578863,-17.698923597943676,0.654680325051673
17.381175274181924,-18.41586775639561,0.6999943637951799
18.058095611581674,-19.144789315967845,0.7467772826636541
18.745459460568807,-19.885525711488267,0.7949980298855996
19.44314018033777,-20.637906348587208,0.8446073666113619
20.151022131699552,-21.4017533234767,0.8955364859170389
20.869003364601635,-22.176882563428613,0.9476948362128452
21.596999593724302,-22.963105340308314,1.00096705105165
22.33494933355542,-23.760230095619825,1.0552092471182721
23.08281966142532,-24.568064497203626,1.1102453499624634
23.84061166679923,-25.38641762628269,1.1658644653935846
24.608364320387906,-26.215102171516456,1.2218205347265938
25.38615536234606,-27.053936487047004,1.2778354936987226
26.174097962817314,-27.902746357523654,1.3336068177800269
26.97233240639797,-28.76136630879745,1.3888196710408645
27.781012852014573,-29.629640312961634,1.443162991129531
28.600290157975678,-30.507421764801073,1.496347952236804
29.430292604897417,-31.394572655799355,1.5481265895213074
30.271106882285473,-32.29096194113599,1.5983081108033925
31.122761820191855,-33.196463180890355,1.6467705921392912
31.985217084779734,-34.110951631809094,1.693466246656694
32.85835854911217,-35.034301059444864,1.7384191220823177
33.74200141806116,-35.96638061722268,1.7817148296904421
34.635901460289745,-36.90705218160625,1.8234827435683254
35.539773811955044,-37.85616852521347,1.8638721193223384
36.45331766307805,-38.81357264395747,1.9030248214439178
37.376243731942075,-39.779098433700604,1.9410486867752874
38.30830004442612,-40.75257275333844,1.9779965947685427
39.24929067822123,-41.733818740657334,2.013856507796997
40.19908238843625,-42.72266009194085,2.048556596532312
41.15759578701994,-43.71892589638654,2.0819869129302315
42.12478095002008,-44.72245554072527,2.114035260068639
43.10058137372927,-45.73310316676216,2.144630790444254
44.084894030187996,-46.75074117007856,2.173785643660915
45.07753560520134,-47.77526227123802,2.2016238495507574
46.078224728274165,-48.80657977909581,2.228388620390947
47.08658665616775,-49.8446258116465,2.254424036309947
48.10218101128957,-50.88934745011256,2.280133878613821
49.12454646131826,-51.94070106533041,2.305926901125618
50.15325099378469,-52.99864533517296,2.3321617568833144
51.18793479603741,-54.06313371018668,2.3591044716462015
52.22833551432341,-55.134107220517734,2.386906810250046
53.274291777480826,-56.21148850849997,2.4156069935062194
54.325727774057185,-57.295177812755504,2.4451478680487724
55.382626540367454,-58.38505135560532,2.4754042629528934
56.445000744203995,-59.480962255736806,2.506211745656496
57.512867295057305,-60.58274376445262,2.5373923114713537
58.586227846441595,-61.690214351237685,2.5687765322051783
59.665053526100785,-62.80318396429502,2.6002242094579406
60.749270760146445,-63.92146067007885,2.631645556366896
61.83874621508512,-65.04485683616537,2.6630227235210535
62.93327171542,-66.17319407188252,2.694428489222575
64.03255286060927,-67.30630628820323,2.726036832623074
65.13620641696222,-68.44404047677048,2.7581201276951117
66.24377058157927,-69.58625510989098,2.7910301166980394
67.35472914114398,-70.73281638243436,2.8251638542406075
68.46854656827401,-71.88359280242497,2.8609199121145914
69.58470785120552,-73.03844885259817,2.898652674624017
70.70275567115901,-74.19723857431349,2.9386326136564005
